index,Frequency,distance (geodesic),Daily Weather,Humidity,Windspeed,Apparent Temperature (Avg),Weekday,Season,Month,Date,Year,Passed_Years,Passed_Months,Rented Bikes,Yesterday,Daily Weather (Past)
33,827,2.9712814653800628,partly-cloudy-day,0.88,1.59,"46,74",Monday,Winter,1,2015-01-05,2015,4,51,281,2015-01-04,fog
314,827,2.9712814653800628,partly-cloudy-day,0.86,2.07,"42,15",Tuesday,Winter,1,2015-01-06,2015,4,51,279,2015-01-05,partly-cloudy-day
593,827,2.9712814653800628,clear-day,0.86,4.13,"45,45",Wednesday,Winter,1,2015-01-07,2015,4,51,274,2015-01-06,partly-cloudy-day
867,827,2.9712814653800628,rain,0.87,3.6,"46,2",Thursday,Winter,1,2015-01-08,2015,4,51,161,2015-01-07,clear-day
1028,1265,0.4109901284443839,partly-cloudy-day,0.81,7.43,"56,085",Friday,Winter,1,2015-01-09,2015,4,51,270,2015-01-08,rain
1298,1513,4.241067006552471,partly-cloudy-day,0.74,7.05,"44,615",Saturday,Winter,1,2015-01-10,2015,4,51,62,2015-01-09,partly-cloudy-day
1360,1513,4.241067006552471,clear-day,0.74,5.44,"43,385",Sunday,Winter,1,2015-01-11,2015,4,51,48,2015-01-10,partly-cloudy-day
1408,76,4.76965462288007,rain,0.83,6.57,"49,535",Monday,Winter,1,2015-01-12,2015,4,51,252,2015-01-11,clear-day
1660,1265,0.4109901284443839,partly-cloudy-day,0.84,4.12,"39,87",Tuesday,Winter,1,2015-01-13,2015,4,51,311,2015-01-12,rain
1971,348,2.9805373844650225,clear-day,0.76,5.04,"42,13",Wednesday,Winter,1,2015-01-14,2015,4,51,305,2015-01-13,partly-cloudy-day
2276,827,2.9712814653800628,rain,0.77,6.71,"41,05",Thursday,Winter,1,2015-01-15,2015,4,51,264,2015-01-14,clear-day
2540,348,2.9805373844650225,partly-cloudy-day,0.76,2.31,37,Friday,Winter,1,2015-01-16,2015,4,51,306,2015-01-15,rain
2846,21,5.1125465831974175,partly-cloudy-day,0.83,1.72,"39,13",Saturday,Winter,1,2015-01-17,2015,4,51,57,2015-01-16,partly-cloudy-day
2903,13,5.274893283013854,partly-cloudy-day,0.89,0.84,"35,21",Sunday,Winter,1,2015-01-18,2015,4,51,42,2015-01-17,partly-cloudy-day
2945,827,2.9712814653800628,partly-cloudy-day,0.85,0.65,"32,85",Monday,Winter,1,2015-01-19,2015,4,51,295,2015-01-18,partly-cloudy-day
3240,1265,0.4109901284443839,clear-day,0.85,1.38,"36,285",Tuesday,Winter,1,2015-01-20,2015,4,51,295,2015-01-19,partly-cloudy-day
3535,1265,0.4109901284443839,partly-cloudy-day,0.87,2.6,"35,595",Wednesday,Winter,1,2015-01-21,2015,4,51,290,2015-01-20,clear-day
3825,1513,4.241067006552471,partly-cloudy-day,0.83,0.83,"32,875",Thursday,Winter,1,2015-01-22,2015,4,51,270,2015-01-21,partly-cloudy-day
4095,1265,0.4109901284443839,rain,0.85,1.95,"36,575",Friday,Winter,1,2015-01-23,2015,4,51,270,2015-01-22,partly-cloudy-day
4365,1397,3.5551368884582915,partly-cloudy-day,0.8,3.43,"36,955",Saturday,Winter,1,2015-01-24,2015,4,51,80,2015-01-23,rain
4445,1265,0.4109901284443839,clear-day,0.83,2.38,"44,43",Sunday,Winter,1,2015-01-25,2015,4,51,71,2015-01-24,partly-cloudy-day
4516,827,2.9712814653800628,partly-cloudy-day,0.81,3.59,"41,615",Monday,Winter,1,2015-01-26,2015,4,51,269,2015-01-25,clear-day
4785,1265,0.4109901284443839,partly-cloudy-day,0.8,2.9,"44,19",Tuesday,Winter,1,2015-01-27,2015,4,51,294,2015-01-26,partly-cloudy-day
5079,76,4.76965462288007,partly-cloudy-day,0.77,5.95,"38,91",Wednesday,Winter,1,2015-01-28,2015,4,51,279,2015-01-27,partly-cloudy-day
5358,76,4.76965462288007,clear-day,0.81,5.28,"34,85",Thursday,Winter,1,2015-01-29,2015,4,51,296,2015-01-28,partly-cloudy-day
5654,1265,0.4109901284443839,partly-cloudy-day,0.83,2.67,"36,285",Friday,Winter,1,2015-01-30,2015,4,51,274,2015-01-29,clear-day
5928,1397,3.5551368884582915,partly-cloudy-day,0.84,4.13,"33,13",Saturday,Winter,1,2015-01-31,2015,4,51,33,2015-01-30,partly-cloudy-day
5961,349,4.639689600552766,partly-cloudy-day,0.73,6.48,"32,09",Sunday,Winter,2,2015-02-01,2015,4,50,43,2015-01-31,partly-cloudy-day
6004,348,2.9805373844650225,clear-day,0.74,2.56,"32,25",Monday,Winter,2,2015-02-02,2015,4,50,277,2015-02-01,partly-cloudy-day
