District,Ages sum,16-24M,16-24F,25-34M,25-34F,35-44M,35-44F,45-54M,45-54F,55-64M,55-64F,>65M,>65F,Year
Camden,199263,15875,16521,26876,25634,19397,18384,14351,13960,10219,9862,12465,15719,2015
Camden,203057,16277,15983,27264,25554,20025,18558,15062,14466,10602,10203,12900,16163,2016
Camden,206309,16426,16255,27676,25880,20385,18586,15292,14733,10852,10484,13246,16494,2017
Camden,209229,16693,16564,28119,25886,20434,18603,15522,15033,11122,10786,13635,16832,2018
Camden,211902,16799,16948,28477,25915,20688,18411,15501,15356,11539,11096,13962,17210,2019
City of London,8146,287,339,950,553,454,374,714,462,2405,382,618,608,2015
City of London,8427,334,384,967,576,481,346,724,465,2506,373,641,630,2016
City of London,8514,332,359,974,592,495,359,746,448,2547,376,635,651,2017
City of London,8870,363,352,1021,655,534,400,744,434,2662,389,650,666,2018
City of London,9177,375,367,1073,702,567,424,732,434,2747,413,665,678,2019
Hackney,213331,13383,14396,35924,36422,23596,21731,14667,15326,9101,9453,8786,10546,2015
Hackney,216732,13387,14064,35333,36546,25203,22446,15084,15472,9388,9927,9061,10821,2016
Hackney,219705,13674,14191,34774,36461,26124,23091,15457,15609,9661,10382,9277,11004,2017
Hackney,223187,13746,14479,34473,36284,27251,23889,15694,15811,10012,10776,9487,11285,2018
Hackney,227081,14094,14597,34095,36389,28529,24694,15866,16038,10433,11117,9674,11555,2019
Hammersmith and Fulham,148106,9670,9661,20910,21203,15860,14869,11183,11688,6667,7930,8007,10458,2015
Hammersmith and Fulham,147648,9644,9446,20543,19911,15924,14771,11405,11991,6933,8174,8207,10699,2016
Hammersmith and Fulham,149402,9917,9991,20654,19812,15897,14594,11598,12128,7178,8393,8310,10930,2017
Hammersmith and Fulham,151290,10127,10188,20853,20023,16034,14548,11661,12142,7440,8677,8440,11157,2018
Hammersmith and Fulham,153076,10192,10339,21169,20312,16148,14346,11647,12187,7770,8916,8560,11490,2019
Haringey,218273,15053,14574,30002,27824,24919,22472,17697,17954,10427,12048,11251,14052,2015
Haringey,223125,15611,14913,30114,27729,25651,22889,18485,18453,10873,12433,11503,14471,2016
Haringey,226165,15711,14899,30445,27593,26055,23379,18744,18595,11372,12763,11767,14842,2017
Haringey,228099,15766,14790,30235,27438,26595,23470,18910,18625,11810,13270,12042,15148,2018
Haringey,229865,15686,14679,30192,27218,27037,23650,19146,18514,12224,13769,12290,15460,2019
Islington,191433,15773,17493,30408,29870,18491,16158,13546,12929,8060,8695,9033,10977,2015
Islington,195901,16795,18014,31009,30048,19093,16212,13776,13012,8425,9067,9231,11219,2016
Islington,197688,16132,17206,31768,30533,19683,16408,13959,12982,8793,9441,9436,11347,2017
Islington,200059,15679,16788,32361,30824,20563,16751,13993,12928,9180,9827,9640,11525,2018
Islington,202860,15418,16602,32743,31058,21632,17118,14007,13022,9483,10109,9898,11770,2019
Kensington and Chelsea,131872,7753,7269,14573,14401,13927,13087,10791,11262,7658,8524,10280,12347,2015
Kensington and Chelsea,130809,7572,6942,13885,13316,14058,12975,11011,11176,7877,8685,10606,12706,2016
Kensington and Chelsea,131688,7797,7099,13768,13243,13797,12790,11157,11184,7988,8954,10916,12995,2017
Kensington and Chelsea,133015,7885,7254,13773,13324,13902,12615,11071,11227,8250,9210,11199,13305,2018
