,Day,Month,Season,Weekday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future),label
0,277,10,3,4,6,2,0.88,0.76,6.55,6.33,57.905,57.42,1,19,19
1,291,10,3,4,2,2,0.8,0.9,6.87,2.22,50.035,53.7,19,24,24
2,292,10,3,5,8,2,0.8,0.8,3.14,6.87,51.435,50.035,24,5,5
3,293,10,3,6,8,8,0.8,0.8,3.64,3.14,55.035,51.435,5,12,12
4,294,10,3,7,8,8,0.8,0.8,4.17,3.64,53.105,55.035,12,22,22
5,295,10,3,1,8,8,0.66,0.8,7.08,4.17,46.825,53.105,22,32,32
6,296,10,3,2,8,8,0.75,0.66,8.81,7.08,56.735,46.825,32,33,33
7,297,10,3,3,2,8,0.8,0.75,7.35,8.81,51.205,56.735,33,28,28
8,298,10,3,4,2,2,0.82,0.8,5.87,7.35,50.685,51.205,28,25,25
9,299,10,3,5,2,2,0.75,0.82,9.58,5.87,40.465,50.685,25,2,2
10,300,10,3,6,8,2,0.77,0.75,9.72,9.58,35.77,40.465,2,8,8
11,301,10,3,7,2,8,0.81,0.77,9.67,9.72,37.29,35.77,8,23,23
12,302,10,3,1,8,2,0.78,0.81,7.89,9.67,22.06,37.29,23,27,27
13,303,10,3,2,2,8,0.81,0.78,8.78,7.89,15.935,22.06,27,30,30
14,311,11,3,3,2,6,0.86,0.88,12.62,7.99,47.39,56.325,30,31,31
15,312,11,3,4,2,2,0.78,0.86,8.85,12.62,48.73,47.39,31,25,25
16,313,11,3,5,4,2,0.85,0.78,10.51,8.85,51.015,48.73,25,6,6
17,314,11,3,6,2,4,0.9,0.85,8.41,10.51,51.42,51.015,6,9,9
18,315,11,3,7,2,2,0.82,0.9,8.76,8.41,50.995,51.42,9,29,29
19,316,11,3,1,2,2,0.84,0.82,8.98,8.76,49.945,50.995,29,26,26
20,317,11,3,2,8,2,0.8,0.84,8.64,8.98,51.77,49.945,26,30,30
21,318,11,3,3,2,8,0.83,0.8,7.56,8.64,54.11,51.77,30,32,32
22,319,11,3,4,6,2,0.93,0.83,5.9,7.56,54.27,54.11,32,26,26
23,320,11,3,5,6,6,0.97,0.93,5.99,5.9,45.335,54.27,26,7,7
24,321,11,3,6,2,6,0.85,0.97,9.7,5.99,43.62,45.335,7,1,1
25,322,11,3,7,8,2,0.78,0.85,9.47,9.7,44.44,43.62,1,15,15
26,323,11,3,1,2,8,0.76,0.78,12.24,9.47,37.195,44.44,15,15,15
27,324,11,3,2,2,2,0.85,0.76,9.86,12.24,31.89,37.195,15,28,28
28,325,11,3,3,2,2,0.86,0.85,6.4,9.86,34.9,31.89,28,23,23
29,326,11,3,4,8,2,0.91,0.86,3.31,6.4,37.44,34.9,23,19,19
30,327,11,3,5,6,8,0.91,0.91,6.25,3.31,42.72,37.44,19,4,4
31,328,11,3,6,2,6,0.87,0.91,9.1,6.25,41.485,42.72,4,3,3
32,329,11,3,7,2,2,0.83,0.87,8.58,9.1,39.6,41.485,3,27,27
33,330,11,3,1,6,2,0.85,0.83,6.48,8.58,38.29,39.6,27,12,12
34,331,11,3,2,6,6,0.94,0.85,5.81,6.48,45.435,38.29,12,3,3
35,332,11,3,3,4,6,0.92,0.94,12.75,5.81,55.005,45.435,3,26,26
36,333,11,3,4,4,4,0.83,0.92,15.09,12.75,48.98,55.005,26,23,23
37,334,11,3,5,8,4,0.8,0.83,9.89,15.09,45.835,48.98,23,6,6
38,335,12,4,6,2,8,0.89,0.8,9.27,9.89,54.02,45.835,6,2,2
39,336,12,4,7,2,2,0.87,0.89,13.22,9.27,55.195,54.02,2,29,29
40,337,12,4,1,2,2,0.81,0.87,11.32,13.22,44.59,55.195,29,28,28
41,338,12,4,2,8,2,0.85,0.81,2.71,11.32,42.055,44.59,28,19,19
42,339,12,4,3,2,8,0.93,0.85,6.46,2.71,53.155,42.055,19,21,21
43,340,12,4,4,2,2,0.89,0.93,10.96,6.46,54.795,53.155,21,28,28
44,341,12,4,5,4,2,0.83,0.89,14.73,10.96,46.06,54.795,28,2,2
45,342,12,4,6,4,4,0.76,0.83,18.88,14.73,47.4,46.06,2,2,2
46,343,12,4,7,4,4,0.75,0.76,14.82,18.88,44.325,47.4,2,31,31
47,344,12,4,1,2,4,0.82,0.75,8.03,14.82,40.195,44.325,31,24,24
48,345,12,4,2,8,2,0.88,0.82,2.83,8.03,41.47,40.195,24,22,22
49,346,12,4,3,2,8,0.79,0.88,8.78,2.83,33.35,41.47,22,27,27
50,347,12,4,4,8,2,0.79,0.79,10.39,8.78,31.095,33.35,27,22,22
51,348,12,4,5,2,8,0.77,0.79,2.75,10.39,31.81,31.095,22,2,2
52,349,12,4,6,2,2,0.8,0.77,13.24,2.75,33.584999999999994,31.81,2,4,4
53,350,12,4,7,8,2,0.89,0.8,5.91,13.24,39.74,33.584999999999994,4,29,29
54,351,12,4,1,8,8,0.87,0.89,7.8,5.91,47.22,39.74,29,16,16
55,352,12,4,2,2,8,0.83,0.87,13.32,7.8,44.555,47.22,16,18,18
56,353,12,4,3,2,2,0.87,0.83,8.36,13.32,41.125,44.555,18,23,23
57,354,12,4,4,8,2,0.83,0.87,9.99,8.36,46.63,41.125,23,7,7
58,355,12,4,5,4,8,0.81,0.83,14.2,9.99,49.465,46.63,7,2,2
59,356,12,4,6,8,4,0.81,0.81,11.81,14.2,46.93,49.465,2,1,1
60,357,12,4,7,2,8,0.92,0.81,3.28,11.81,47.26,46.93,1,5,5
61,358,12,4,1,2,2,0.89,0.92,2.35,3.28,38.175,47.26,5,2,2
62,359,12,4,2,3,2,0.93,0.89,2.24,2.35,44.99500000000001,38.175,2,2,2
63,361,12,4,4,6,6,0.91,0.92,1.14,3.4,42.605,41.835,2,2,2
64,362,12,4,5,2,6,0.87,0.91,4.52,1.14,47.55,42.605,2,1,1
65,363,12,4,6,2,2,0.87,0.87,9.17,4.52,47.83,47.55,1,1,1
