,dates,postcode,street,title,Year
,05th  June 2018,,,,
0,06th June 2018,KT8 9AU,"East Molesey, Surrey","
Lionel Richie ",2015
,08th March 2019,,,,
1,09th March 2019,SE1 8XX,Belvedere Road,"
Women of the World Festival ",2015
2,02nd - 14th March 2015,SW1E 5JA,12 Palace Street,"
Ruby Wax: Sane New World ",2015
3,03rd - 07th March 2015,TW9 1QJ,"The Green, Surrey","
Harvey ",2015
4,03rd - 14th March 2015,NW1 3BF,"15-16 Triton Street, Regents Place","
Citizen Puppet ",2015
5,04th - 28th March 2015,EC2Y 8DS,Silk Street,"
Antigone ",2015
6,06th - 15th September 2018,SW11 5TN,Lavender Hill,"
Missing ",2015
7,04th March - 31st May 2015,WC2N 5DN,Trafalgar Square,"
Inventing Impressionism ",2015
8,04th March - 06th September 2015,SW3 4SQ,"Duke of York's Square, King's Road","
Pangaea II: New Art from Africa and Latin America ",2015
9,05th March - 31st August 2015,SE1 6HZ,"Lambeth Road, Elephant and Castle","
Fashion on the Ration ",2015
10,06th - 21st March 2019,EC2M 4WY,9 Devonshire Square,"
House of Holi ",2015
11,05th - 29th March 2015,WC2R 1LA,Strand,"
Beard ",2015
12,05th - 06th March 2015,EC1R 4TN,Rosebery Avenue,"
Francois Chaignaud and Cecilia Bengolea: TWERK ",2015
13,05th March - 31st December 2015,WC2N 5DS,Central London,"
Hans Haacke: Gift Horse ",2015
14,24th - 25th March 2016,NW1 8EH,Chalk Farm Road,"
Underworld ",2015
15,06th March - 18th April 2015,NW3 3EU,Eton Avenue,"
Stevie ",2015
16,06th March - 06th March 2016,N1C 4TB,"1 Pancras Square, King's Boulevard","
Speirs & Major: HALFLIFE ",2015
17,07th - 08th March 2015,W14 8UX,Hammersmith Road,"
London Bass Guitar Show 2015 ",2015
18,07th - 08th March 2015,E15 4QZ,"383-387 High Street, Stratford","
Anthony Browne's The Big Write ",2015
19,17th July 2016,EC3M 3BY,20 Fenchurch Street,"
Step Up Challenge ",2015
20,08th March 2015,EC2Y 8DS,Silk Street,"
Unsuk Chin: Alice In Wonderland ",2015
21,08th March 2015,HA9 0DH,"Arena Square, Engineers Way","
Comic Relief Danceathon ",2015
22,09th March - 05th September 2015,W1T 7AQ,268-269 Tottenham Court Road,"
Michael Flatley's Lord Of The Dance: Dangerous Games ",2015
23,09th - 15th March 2015,SE1 7PB,"Jubilee Gardens, South Bank","
London Eye Turns 15 ",2015
24,10th - 15th March 2015,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Modern Masters ",2015
