Station ID,Year,Month,Day,Weekday,Season,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
835,2018,10,277,4,Autumn,False,fog,partly-cloudy-day,0.88,0.76,6.55,6.33,57.905,57.42,1,19
835,2018,10,291,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.8,0.9,6.87,2.22,50.035,53.7,19,24
835,2018,10,292,5,Autumn,False,cloudy,partly-cloudy-day,0.8,0.8,3.14,6.87,51.435,50.035,24,5
835,2018,10,293,6,Autumn,False,cloudy,cloudy,0.8,0.8,3.64,3.14,55.035,51.435,5,12
835,2018,10,294,7,Autumn,False,cloudy,cloudy,0.8,0.8,4.17,3.64,53.105,55.035,12,22
835,2018,10,295,1,Autumn,False,cloudy,cloudy,0.66,0.8,7.08,4.17,46.825,53.105,22,32
835,2018,10,296,2,Autumn,False,cloudy,cloudy,0.75,0.66,8.81,7.08,56.735,46.825,32,33
835,2018,10,297,3,Autumn,False,partly-cloudy-day,cloudy,0.8,0.75,7.35,8.81,51.205,56.735,33,28
835,2018,10,298,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.82,0.8,5.87,7.35,50.685,51.205,28,25
835,2018,10,299,5,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.75,0.82,9.58,5.87,40.465,50.685,25,2
835,2018,10,300,6,Autumn,False,cloudy,partly-cloudy-day,0.77,0.75,9.72,9.58,35.77,40.465,2,8
835,2018,10,301,7,Autumn,False,partly-cloudy-day,cloudy,0.81,0.77,9.67,9.72,37.29,35.77,8,23
835,2018,10,302,1,Autumn,False,cloudy,partly-cloudy-day,0.78,0.81,7.89,9.67,22.06,37.29,23,27
835,2018,10,303,2,Autumn,False,partly-cloudy-day,cloudy,0.81,0.78,8.78,7.89,15.935,22.06,27,30
835,2018,11,311,3,Autumn,False,partly-cloudy-day,fog,0.86,0.88,12.62,7.99,47.39,56.325,30,31
835,2018,11,312,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.78,0.86,8.85,12.62,48.73,47.39,31,25
835,2018,11,313,5,Autumn,False,wind,partly-cloudy-day,0.85,0.78,10.51,8.85,51.015,48.73,25,6
835,2018,11,314,6,Autumn,False,partly-cloudy-day,wind,0.9,0.85,8.41,10.51,51.42,51.015,6,9
835,2018,11,315,7,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.82,0.9,8.76,8.41,50.995,51.42,9,29
835,2018,11,316,1,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.84,0.82,8.98,8.76,49.945,50.995,29,26
835,2018,11,317,2,Autumn,False,cloudy,partly-cloudy-day,0.8,0.84,8.64,8.98,51.77,49.945,26,30
835,2018,11,318,3,Autumn,False,partly-cloudy-day,cloudy,0.83,0.8,7.56,8.64,54.11,51.77,30,32
835,2018,11,319,4,Autumn,False,fog,partly-cloudy-day,0.93,0.83,5.9,7.56,54.27,54.11,32,26
835,2018,11,320,5,Autumn,False,fog,fog,0.97,0.93,5.99,5.9,45.335,54.27,26,7
835,2018,11,321,6,Autumn,False,partly-cloudy-day,fog,0.85,0.97,9.7,5.99,43.62,45.335,7,1
835,2018,11,322,7,Autumn,False,cloudy,partly-cloudy-day,0.78,0.85,9.47,9.7,44.44,43.62,1,15
835,2018,11,323,1,Autumn,False,partly-cloudy-day,cloudy,0.76,0.78,12.24,9.47,37.195,44.44,15,15
835,2018,11,324,2,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.85,0.76,9.86,12.24,31.89,37.195,15,28
835,2018,11,325,3,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.86,0.85,6.4,9.86,34.9,31.89,28,23
835,2018,11,326,4,Autumn,False,cloudy,partly-cloudy-day,0.91,0.86,3.31,6.4,37.44,34.9,23,19
835,2018,11,327,5,Autumn,False,fog,cloudy,0.91,0.91,6.25,3.31,42.72,37.44,19,4
835,2018,11,328,6,Autumn,False,partly-cloudy-day,fog,0.87,0.91,9.1,6.25,41.485,42.72,4,3
835,2018,11,329,7,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.83,0.87,8.58,9.1,39.6,41.485,3,27
835,2018,11,330,1,Autumn,False,fog,partly-cloudy-day,0.85,0.83,6.48,8.58,38.29,39.6,27,12
835,2018,11,331,2,Autumn,False,fog,fog,0.94,0.85,5.81,6.48,45.435,38.29,12,3
835,2018,11,332,3,Autumn,False,wind,fog,0.92,0.94,12.75,5.81,55.005,45.435,3,26
835,2018,11,333,4,Autumn,False,wind,wind,0.83,0.92,15.09,12.75,48.98,55.005,26,23
835,2018,11,334,5,Autumn,False,cloudy,wind,0.8,0.83,9.89,15.09,45.835,48.98,23,6
835,2018,12,335,6,Winter,False,partly-cloudy-day,cloudy,0.89,0.8,9.27,9.89,54.02,45.835,6,2
835,2018,12,336,7,Winter,False,partly-cloudy-day,partly-cloudy-day,0.87,0.89,13.22,9.27,55.195,54.02,2,29
835,2018,12,337,1,Winter,False,partly-cloudy-day,partly-cloudy-day,0.81,0.87,11.32,13.22,44.59,55.195,29,28
835,2018,12,338,2,Winter,False,cloudy,partly-cloudy-day,0.85,0.81,2.71,11.32,42.055,44.59,28,19
835,2018,12,339,3,Winter,False,partly-cloudy-day,cloudy,0.93,0.85,6.46,2.71,53.155,42.055,19,21
835,2018,12,340,4,Winter,False,partly-cloudy-day,partly-cloudy-day,0.89,0.93,10.96,6.46,54.795,53.155,21,28
835,2018,12,341,5,Winter,False,wind,partly-cloudy-day,0.83,0.89,14.73,10.96,46.06,54.795,28,2
835,2018,12,342,6,Winter,False,wind,wind,0.76,0.83,18.88,14.73,47.4,46.06,2,2
835,2018,12,343,7,Winter,False,wind,wind,0.75,0.76,14.82,18.88,44.325,47.4,2,31
835,2018,12,344,1,Winter,False,partly-cloudy-day,wind,0.82,0.75,8.03,14.82,40.195,44.325,31,24
835,2018,12,345,2,Winter,False,cloudy,partly-cloudy-day,0.88,0.82,2.83,8.03,41.47,40.195,24,22
835,2018,12,346,3,Winter,False,partly-cloudy-day,cloudy,0.79,0.88,8.78,2.83,33.35,41.47,22,27
835,2018,12,347,4,Winter,False,cloudy,partly-cloudy-day,0.79,0.79,10.39,8.78,31.095,33.35,27,22
835,2018,12,348,5,Winter,False,partly-cloudy-day,cloudy,0.77,0.79,2.75,10.39,31.81,31.095,22,2
835,2018,12,349,6,Winter,False,partly-cloudy-day,partly-cloudy-day,0.8,0.77,13.24,2.75,33.585,31.81,2,4
835,2018,12,350,7,Winter,False,cloudy,partly-cloudy-day,0.89,0.8,5.91,13.24,39.74,33.585,4,29
835,2018,12,351,1,Winter,False,cloudy,cloudy,0.87,0.89,7.8,5.91,47.22,39.74,29,16
835,2018,12,352,2,Winter,False,partly-cloudy-day,cloudy,0.83,0.87,13.32,7.8,44.555,47.22,16,18
835,2018,12,353,3,Winter,False,partly-cloudy-day,partly-cloudy-day,0.87,0.83,8.36,13.32,41.125,44.555,18,23
835,2018,12,354,4,Winter,False,cloudy,partly-cloudy-day,0.83,0.87,9.99,8.36,46.63,41.125,23,7
835,2018,12,355,5,Winter,False,wind,cloudy,0.81,0.83,14.2,9.99,49.465,46.63,7,2
835,2018,12,356,6,Winter,False,cloudy,wind,0.81,0.81,11.81,14.2,46.93,49.465,2,1
835,2018,12,357,7,Winter,False,partly-cloudy-day,cloudy,0.92,0.81,3.28,11.81,47.26,46.93,1,5
835,2018,12,358,1,Winter,False,partly-cloudy-day,partly-cloudy-day,0.89,0.92,2.35,3.28,38.175,47.26,5,2
835,2018,12,359,2,Winter,True,cloudy,partly-cloudy-day,0.93,0.89,2.24,2.35,44.995,38.175,2,2
835,2018,12,361,4,Winter,False,fog,fog,0.91,0.92,1.14,3.4,42.605,41.835,2,2
835,2018,12,362,5,Winter,False,partly-cloudy-day,fog,0.87,0.91,4.52,1.14,47.55,42.605,2,1
835,2018,12,363,6,Winter,False,partly-cloudy-day,partly-cloudy-day,0.87,0.87,9.17,4.52,47.83,47.55,1,1
835,2018,12,364,7,Winter,False,fog,partly-cloudy-day,0.93,0.87,6.68,9.17,47.74,47.83,1,2
835,2018,12,365,1,Winter,False,cloudy,fog,0.8,0.93,7.42,6.68,43.96,47.74,2,2
835,2019,1,1,2,Winter,True,partly-cloudy-day,cloudy,0.77,0.8,6.5,7.42,43.135,43.96,2,24
835,2019,1,2,3,Winter,False,cloudy,partly-cloudy-day,0.74,0.77,5.68,6.5,37.87,43.135,24,25
835,2019,1,3,4,Winter,False,partly-cloudy-day,cloudy,0.71,0.74,3.68,5.68,36.045,37.87,25,22
835,2019,1,4,5,Winter,False,cloudy,partly-cloudy-day,0.75,0.71,3.66,3.68,34.24,36.045,22,4
835,2019,1,5,6,Winter,False,cloudy,cloudy,0.77,0.75,6.4,3.66,37.735,34.24,4,4
835,2019,1,6,7,Winter,False,partly-cloudy-day,cloudy,0.8,0.77,5.73,6.4,44.795,37.735,4,28
