District,% Con,% Lab,% Lib Dem,% Green,% UKIP
City of London,40.415105217642,37.6477371000288,6.63015278178149,7.00490054770827,2.07552608820986
Camden,27.2841301063314,51.0533367541834,5.12984976766726,8.4480743464751,2.03398044414037
Hackney,12.0936921063882,66.7219422456568,2.89678581144982,10.1931622381427,1.38232131521331
Hammersmith and Fulham,41.0893388614585,39.7680940010666,4.31641061812927,5.91635556626009,2.28293220018236
Haringey,17.6776519720374,60.0702955786416,5.24363513741359,8.78305643100787,1.29566942920509
Islington,16.990974014447,60.3771523766608,4.62359865088143,8.7419605915366,2.37188152881897
Kensington and Chelsea,55.599084202493,28.015772068176,4.07529890613076,4.53319765962859,1.8366827779191
Lambeth,21.4263809952161,56.1148137547532,5.38802796745308,9.17222063212986,1.44948276567036
Lewisham,19.3957866218236,56.8292227204783,4.82880231689088,8.96860986547085,2.94749626307922
Newham,17.4233385404494,65.3070763478025,2.29154110136656,4.47360976149768,2.5584570535923
Southwark,19.3826314547926,54.9666940004269,8.40344630039428,8.3169517989733,2.52968334026038
Tower Hamlets,17.8540481482877,61.2716472641877,3.54895829408884,7.12177724195959,2.35843725275967
Wandsworth,40.7979201723693,43.278399529902,3.79194600995397,5.42927606684651,1.6204136506495
Westminster,44.3715376754693,38.0071353018161,4.24711809103785,4.96244106204844,2.11369870381326
