,Actual,Day,Predicted
1212,381,2,245.97295649994297
1213,409,3,258.0798940421733
1214,366,4,263.8434785402382
1215,81,5,179.9735008778213
1216,112,6,60.558590867110865
1217,396,7,163.30763296696185
1218,388,1,243.0381264548041
1219,372,2,246.50808883144595
1220,286,3,253.09319294338968
1221,272,4,215.35096798705604
1222,72,5,118.63666650651064
1223,87,6,63.21854933313344
1224,86,7,185.94208901970308
1225,299,1,166.1907148611749
1226,330,2,240.44813736422648
1227,356,3,239.13955566141178
1228,279,4,264.9622232314797
1229,88,5,145.6258325028633
1230,94,6,87.12201535417671
1231,360,7,175.99259917238058
1232,346,1,239.37586171849566
1233,357,2,242.63767476264982
1234,389,3,247.6996017001607
1235,317,4,267.1203827167656
1236,90,5,153.56283933770737
1237,90,6,66.15601270772336
1238,379,7,174.60581870351228
1239,374,1,243.99109227195305
1240,374,2,251.33159840066696
1241,382,3,254.4252225222337
1242,324,4,263.5370074366783
1243,79,5,158.91559204623272
1244,101,6,60.42836766820501
1245,406,7,166.63451589703357
1246,388,1,248.36257568687859
1247,392,2,260.86126060994343
1248,374,3,267.96971942074333
1249,359,4,267.00706453269345
1250,92,5,177.97412943626767
1251,89,6,62.58849617397728
1252,360,7,163.52028546135531
1253,387,1,236.19317396224395
1254,377,2,249.5352990034367
1255,394,3,258.55487715878144
1256,320,4,268.0594166193831
1257,80,5,157.1939922387726
1258,102,6,72.72674774386195
1259,383,7,170.73955475753348
1260,374,1,241.1671369306747
1261,391,2,252.1940458336063
1262,395,3,266.5654178781024
1263,343,4,268.79876005849593
1264,80,5,165.26338004893586
1265,108,6,79.85856332879588
1266,378,7,159.85016968465007
1267,398,1,241.41385357756806
1268,387,2,254.89217929132
1269,394,3,267.2764307115715
1270,322,4,270.4899446979971
1271,91,5,155.3438391669428
1272,90,6,75.09990676538
1273,361,7,172.60159202244046
1274,423,1,237.76524160945527
1275,394,2,257.34564608252447
1276,395,3,271.49070027241083
1277,319,4,263.5293136908072
1278,104,5,151.62423757521975
1279,103,6,77.1930870530312
1280,382,7,174.16769187679358
1281,360,1,241.22306693801906
1282,397,2,250.33884318508942
1283,377,3,266.58486501020786
1284,274,4,254.67444242523752
1285,91,5,125.92991492848434
1286,43,6,81.94309256093203
1287,358,7,174.12730073989104
1288,383,1,252.95317961987195
1289,355,2,262.912216903507
1290,397,3,261.3409282375685
1291,315,4,275.11023360498564
1292,97,5,152.61402478289887
1293,102,6,85.99377425218896
1294,340,7,172.7434522519383
1295,353,1,238.5589391999091
1296,325,2,249.57014546746808
1297,235,3,255.47834790438657
1298,274,4,199.2514787908877
1299,68,5,124.60421959420866
1300,57,6,65.92807285443192
1301,331,7,171.71068093744444
1302,344,1,241.23659759773892
1303,389,2,246.22998179562126
1304,258,3,272.8620160758176
1305,312,4,214.5553734154464
1306,70,5,159.25827798618317
1307,96,6,73.92266209480591
1308,354,7,177.8429854108316
1309,352,1,246.07873283741657
1310,339,2,251.0667868916159
1311,288,3,257.3549725945404
