Day,Actual,Predicted
1,0,281
2,0,279
3,0,274
4,0,161
5,0,270
6,0,62
7,0,48
8,0,252
9,0,311
10,0,305
11,0,264
12,0,306
13,0,57
14,0,42
15,0,295
16,0,295
17,0,290
18,0,270
19,0,270
20,0,80
21,0,71
22,0,269
23,0,294
24,0,279
25,0,296
26,0,274
27,0,33
28,0,43
29,0,277
30,0,255
31,0,288
32,0,248
33,0,249
34,0,50
35,0,64
36,0,297
37,0,308
38,0,289
39,0,292
40,0,229
41,0,52
42,0,60
43,0,262
44,0,279
45,0,290
46,0,239
47,0,220
48,0,53
49,0,40
50,0,290
51,0,290
52,0,254
53,0,306
54,0,281
55,0,63
56,0,76
57,0,286
58,0,302
59,0,305
60,0,298
61,0,303
62,0,87
63,0,70
64,0,312
65,0,307
66,0,311
67,0,349
68,0,307
69,0,65
70,0,58
71,0,247
72,0,327
73,0,308
74,0,305
75,0,313
76,0,54
77,0,71
78,0,279
79,0,314
80,0,313
81,0,221
82,0,301
83,0,69
84,0,32
85,0,283
86,0,266
87,0,284
88,0,257
89,0,49
90,0,43
91,0,65
92,0,81
93,0,295
94,0,312
95,0,294
96,0,273
97,0,89
98,0,84
99,0,310
100,0,323
101,0,330
102,0,324
103,0,282
104,0,38
105,0,41
106,0,302
107,0,346
108,0,356
109,0,342
110,0,332
111,0,75
112,0,67
113,0,334
114,0,341
115,0,312
116,0,329
117,0,315
118,0,36
119,0,29
120,0,46
121,0,293
122,0,317
123,0,310
124,0,284
125,0,92
126,0,82
127,0,339
128,0,358
129,0,382
130,0,264
131,0,301
132,0,88
133,0,100
134,0,271
135,0,329
136,0,286
137,0,335
138,0,335
139,0,66
140,0,83
141,0,92
142,0,331
143,0,296
144,0,334
145,0,261
146,0,101
147,0,56
148,0,269
149,0,331
150,0,305
151,0,83
152,0,310
153,0,95
154,0,102
155,0,332
156,0,378
157,0,378
158,0,381
159,0,309
160,0,96
161,0,95
162,0,361
163,0,411
164,0,367
165,0,337
166,0,323
167,0,93
168,0,79
169,0,291
170,0,348
171,0,371
172,0,339
173,0,312
174,0,124
175,0,97
176,0,360
177,0,388
178,0,421
179,0,350
180,0,352
181,0,117
182,0,90
183,0,375
184,0,386
185,0,451
186,0,838
187,0,359
188,0,136
189,0,98
190,0,268
191,0,368
192,0,297
193,0,378
194,0,316
195,0,123
196,0,132
197,0,298
198,0,400
199,0,406
200,0,375
201,0,228
202,0,106
203,0,53
204,0,316
205,0,349
206,0,355
207,0,342
208,0,302
209,0,108
210,0,114
211,0,322
212,0,346
213,0,369
214,0,775
215,0,327
216,0,126
217,0,158
218,0,374
219,0,365
220,0,352
221,0,337
222,0,266
223,0,109
224,0,110
225,0,339
226,0,337
227,0,338
228,0,329
229,0,303
230,0,149
231,0,100
232,0,229
233,0,310
234,0,271
235,0,254
236,0,287
237,0,104
238,0,95
239,0,52
240,0,249
241,0,335
242,0,334
243,0,356
244,0,95
245,0,80
246,0,306
247,0,365
248,0,381
249,0,346
250,0,354
251,0,105
252,0,91
253,0,320
254,0,323
255,0,287
256,0,312
257,0,342
258,0,105
259,0,107
260,0,308
261,0,206
262,0,351
263,0,300
264,0,352
265,0,100
266,0,102
267,0,324
268,0,368
269,0,366
270,0,382
271,0,356
272,0,91
273,0,108
274,0,333
275,0,304
276,0,350
277,0,384
278,0,368
279,0,102
280,0,98
281,0,364
282,0,368
283,0,357
284,0,346
285,0,325
286,0,92
287,0,96
288,0,365
289,0,402
290,0,175
291,0,355
292,0,312
293,0,63
294,0,80
295,0,359
296,0,331
297,0,181
298,0,292
299,0,159
300,0,81
301,0,90
302,0,343
303,0,355
304,0,221
305,0,333
306,0,286
307,0,49
308,0,84
309,0,323
310,0,344
311,0,346
312,0,362
313,0,310
314,0,39
315,0,71
316,0,320
317,0,329
318,0,344
319,0,294
320,0,309
321,0,48
322,0,51
323,0,298
324,0,271
325,0,332
326,0,336
327,0,288
328,0,73
329,0,52
330,0,295
331,0,300
332,0,362
333,0,332
334,0,297
335,0,63
336,0,59
337,0,283
338,0,291
339,0,328
340,0,297
341,0,274
342,0,42
343,0,44
344,0,302
345,0,293
346,0,285
347,0,324
348,0,258
349,0,58
350,0,55
351,0,260
352,0,231
353,0,205
354,0,64
355,0,77
356,0,51
357,0,44
358,0,57
359,0,111
360,0,73
361,0,65
362,0,38
363,0,26
364,0,29
365,0,283
366,0,308
367,0,310
368,0,227
369,0,296
370,0,38
371,0,58
372,0,313
373,0,308
374,0,333
375,0,339
376,0,282
377,0,72
378,0,71
379,0,326
380,0,327
381,0,345
382,0,319
383,0,238
384,0,71
385,0,63
386,0,336
387,0,316
388,0,321
389,0,309
390,0,288
391,0,50
392,0,43
393,0,321
394,0,313
395,0,327
396,0,332
397,0,286
398,0,52
399,0,51
400,0,279
401,0,305
402,0,317
403,0,318
404,0,307
405,0,52
406,0,52
407,0,314
408,0,305
409,0,287
410,0,295
411,0,245
412,0,49
413,0,50
414,0,310
415,0,353
416,0,347
417,0,334
418,0,286
419,0,52
420,0,52
421,0,330
422,0,305
423,0,302
424,0,350
425,0,303
426,0,54
427,0,63
428,0,372
429,0,374
430,0,267
431,0,336
432,0,310
433,0,81
434,0,72
435,0,380
436,0,365
437,0,359
438,0,369
439,0,273
440,0,80
441,0,80
442,0,379
443,0,362
444,0,363
445,0,342
446,0,72
447,0,53
448,0,36
449,0,55
450,0,296
451,0,343
452,0,361
453,0,300
454,0,74
455,0,89
456,0,339
457,0,337
458,0,324
459,0,312
460,0,298
461,0,74
462,0,68
463,0,368
464,0,352
465,0,376
466,0,377
467,0,196
468,0,66
469,0,92
470,0,344
471,0,404
472,0,424
473,0,440
474,0,312
475,0,72
476,0,52
477,0,344
478,0,377
479,0,374
480,0,401
481,0,319
482,0,90
483,0,66
484,0,67
485,0,380
486,0,437
487,0,410
488,0,368
489,0,111
490,0,118
491,0,404
492,0,263
493,0,351
494,0,399
495,0,382
496,0,84
497,0,104
498,0,416
499,0,400
500,0,338
501,0,385
502,0,385
503,0,89
504,0,90
505,0,369
506,0,431
507,0,398
508,0,394
509,0,387
510,0,84
511,0,103
512,0,70
513,0,163
514,0,325
515,0,341
516,0,319
517,0,91
518,0,133
519,0,395
520,0,376
521,0,391
522,0,395
523,0,392
524,0,101
525,0,55
526,0,350
527,0,338
528,0,392
529,0,373
530,0,298
531,0,85
532,0,103
533,0,169
534,0,376
535,0,374
536,0,314
537,0,334
538,0,92
539,0,104
540,0,369
541,0,391
542,0,370
543,0,391
544,0,296
545,0,73
546,0,105
547,0,380
548,0,436
549,0,425
550,0,406
551,0,355
