,Actual,Day,Predicted
0,279,1,316.88869809428985
1,274,2,300.57841263577365
2,161,3,278.13940398314145
3,270,4,272.0
4,62,5,56.58271569024004
5,48,6,56.55443662909029
6,252,7,277.7016777880101
7,311,1,308.3756292399839
8,305,2,318.95139338558744
9,264,3,292.38633834463184
10,306,4,262.7869820558076
11,57,5,43.0
12,42,6,46.0
13,295,7,330.7168067090327
14,295,1,320.6198760295632
15,290,2,279.0
16,270,3,287.0
17,270,4,235.9700016192085
18,80,5,40.053293292672386
19,71,6,49.0
20,269,7,344.01652598560776
21,294,1,320.0
22,279,2,297.47352373281285
23,296,3,299.09859477962334
24,274,4,234.7120472279828
25,33,5,42.22909344741084
26,43,6,39.14149657313284
27,277,7,307.18386781683387
28,255,1,300.4661999255405
29,288,2,274.9418207844866
30,248,3,277.1565418563277
31,249,4,133.09078925898095
32,50,5,37.129453994174014
33,64,6,33.42677371319146
34,297,7,335.04828285427914
35,308,1,327.0222017757271
36,289,2,313.0698427539603
37,292,3,298.0
38,229,4,251.86130843381724
39,52,5,42.24932207037621
40,60,6,38.7609739642891
41,262,7,325.0
42,279,1,319.2112677133225
43,290,2,279.0
44,239,3,286.7348773014568
45,220,4,262.2765127996427
46,53,5,38.85200383537252
47,40,6,57.517205966899816
48,290,7,309.0
49,290,1,312.0123388550693
50,254,2,286.19416172631816
51,306,3,288.0
52,281,4,283.78376944132526
53,63,5,45.17262122259859
54,76,6,45.0
55,286,7,298.0480870587347
56,302,1,317.51828412693703
57,305,2,300.6962386345296
58,298,3,307.24592744772866
59,303,4,258.0
60,87,5,52.93059628443121
61,70,6,72.19579316439993
62,312,7,324.7528043789769
63,307,1,339.0
64,311,2,302.5056784213592
65,349,3,321.62241856372697
66,307,4,297.1165596787956
67,65,5,58.0
68,58,6,51.6779633099459
69,247,7,295.8735930583707
70,327,1,300.3424467092766
71,308,2,322.03703141968265
72,305,3,319.66703572993197
73,313,4,258.0
74,54,5,49.0
75,71,6,57.20445364392477
76,279,7,321.0
77,314,1,320.05211093278956
78,313,2,330.6605370161777
79,221,3,317.0
80,301,4,250.4850857815901
81,69,5,51.41583562235289
82,32,6,63.86807822011534
83,283,7,275.8596642733796
84,266,1,319.1371480485771
85,284,2,300.89798438479994
86,257,3,301.2521184728213
87,49,4,237.9508780919227
88,43,5,38.53617626139779
89,65,6,57.92255922661601
90,81,7,332.02391081745014
91,295,1,299.935703159251
92,312,2,311.906317053446
93,294,3,333.0
94,273,4,284.24956927710826
95,89,5,66.11047960046278
96,84,6,83.42301217622757
97,310,7,323.74125662949444
98,323,1,344.32914903590336
99,330,2,327.6887116887284
100,324,3,342.0
101,282,4,300.75213997045887
102,38,5,59.62726338372437
103,41,6,38.48509271542483
104,302,7,207.29461640882607
105,346,1,331.0
106,356,2,342.0
107,342,3,355.29332777355756
108,332,4,297.0
109,75,5,63.68192990496392
110,67,6,88.28912410216766
111,334,7,331.0
112,341,1,344.8014862646971
113,312,2,339.6260951576623
114,329,3,332.9805859810033
115,315,4,278.69041009649175
116,36,5,62.1486869421492
117,29,6,38.707950217697665
118,46,7,99.19044630107469
119,293,1,279.0
120,317,2,331.083027640094
121,310,3,332.0
122,284,4,282.8978935500087
123,92,5,70.35604285596992
124,82,6,87.0
125,339,7,332.0
126,358,1,358.7040254096047
127,382,2,360.03461404621305
128,264,3,369.0
129,301,4,277.1595533912738
130,88,5,57.553851838832344
131,100,6,80.64325681836881
132,271,7,342.0
133,329,1,339.03092328196595
134,286,2,332.11606219840525
135,335,3,310.5331654470514
136,335,4,291.851176884051
137,66,5,79.17816298599404
138,83,6,87.63977276127672
139,92,7,330.33885126498524
140,331,1,325.0
141,296,2,340.0
142,334,3,320.8956610676238
143,261,4,306.58791482324864
144,101,5,69.6050751495853
145,56,6,91.4346329949415
146,269,7,298.0
147,331,1,325.0
148,305,2,333.97100515005405
149,83,3,329.18847020011435
150,310,4,246.4860747934898
151,95,5,87.010216979056
152,102,6,91.40837633185112
153,332,7,339.9749276402197
154,378,1,369.0
155,378,2,369.82997252925446
156,381,3,362.1843392389092
157,309,4,312.02668423170326
158,96,5,89.30967224492004
159,95,6,94.5920081442388
160,361,7,354.8730903303113
161,411,1,373.0
162,367,2,370.24103294678224
163,337,3,371.1282131389681
164,323,4,309.6044094376553
165,93,5,86.38908026541561
166,79,6,95.30724806187204
167,291,7,333.0
168,348,1,343.02846216540706
169,371,2,344.0
170,339,3,370.654476364698
171,312,4,309.0165487193364
172,124,5,89.12509259793879
173,97,6,97.85675677983872
174,360,7,335.1680468508024
175,388,1,371.49714641454875
176,421,2,379.0
177,350,3,388.8269456164809
178,352,4,316.0247605213633
179,117,5,90.0
180,90,6,200.66832204575408
181,375,7,356.1889619197454
182,386,1,378.39841172452424
183,451,2,376.7914353124037
184,838,3,390.9570314268454
185,359,4,323.72293918566226
186,136,5,90.69898211440902
187,98,6,98.47095399934216
188,268,7,333.0
189,368,1,337.45372273440347
190,297,2,349.0
191,378,3,332.87417992905654
192,316,4,326.84458499939444
193,123,5,89.75237683232334
194,132,6,112.47806464164077
195,298,7,312.0
196,400,1,348.0
197,406,2,370.92073487731875
198,375,3,389.0
199,228,4,323.5968436062914
200,106,5,87.0
201,53,6,94.975080044374
202,316,7,288.6351925669767
203,349,1,349.0
204,355,2,348.0
205,342,3,356.0
206,302,4,308.88247030765575
207,108,5,80.0
208,114,6,89.81041778558378
209,322,7,312.3875649754156
210,346,1,360.0
211,369,2,352.1651131199566
212,775,3,371.6393553684631
213,327,4,335.72663740362174
214,126,5,89.55419381625909
215,158,6,91.58511938974458
216,374,7,320.0
217,365,1,384.42163081074875
218,352,2,356.7015956668582
219,337,3,360.0
220,266,4,314.71778196117845
221,109,5,80.80670607757858
222,110,6,96.0
223,339,7,337.26477274284946
224,337,1,366.409621364509
225,338,2,354.3140661613899
226,329,3,348.0730984991876
227,303,4,311.35565507273367
228,149,5,87.0
229,100,6,107.90289400740393
230,229,7,333.0
231,310,1,342.3852562087951
232,271,2,324.28502020066696
233,254,3,320.0
234,287,4,272.0
235,104,5,80.0
236,95,6,102.0
237,52,7,318.4124448989157
238,249,1,300.5844381251329
239,335,2,308.01635069577793
240,334,3,344.44147421563423
241,356,4,312.0
242,95,5,84.87836238095774
243,80,6,83.20962688710861
244,306,7,331.0
245,365,1,349.0
246,381,2,358.5164008380094
247,346,3,374.1419083543571
248,354,4,317.0
249,105,5,90.0
250,91,6,100.3237407521108
251,320,7,334.96221451035046
252,323,1,355.0795374769062
253,287,2,333.0
254,312,3,325.0
255,342,4,290.7958894332533
256,105,5,83.0
257,107,6,83.0
258,308,7,341.4736996238313
259,206,1,352.13816194416006
260,351,2,298.5160037968458
261,300,3,340.0
262,352,4,307.8298879673387
263,100,5,77.74449556648268
264,102,6,80.70197343705624
265,324,7,339.0
266,368,1,357.68509194619367
267,366,2,354.00785696738825
268,382,3,368.5890983042889
269,356,4,325.3523007858279
270,91,5,84.21642173786145
271,108,6,69.94380247337084
272,333,7,374.09068908388167
273,304,1,353.47396709462964
274,350,2,324.9193848911202
275,384,3,365.4018478751588
276,368,4,323.64256349697143
277,102,5,83.40754041538753
278,98,6,83.0
279,364,7,353.0
280,368,1,374.8414656032997
281,357,2,359.45254142603216
282,346,3,345.60021532337674
283,325,4,312.0041036973471
284,92,5,69.71648930438515
285,96,6,68.75542703184115
286,365,7,344.0
287,402,1,378.9763066686172
288,175,2,373.0
289,355,3,306.8435270183243
290,312,4,317.0
291,63,5,71.97520402176336
292,80,6,69.67420018115352
293,359,7,360.0
294,331,1,348.99780474292857
295,181,2,333.0308443195308
296,292,3,311.9527530465334
297,159,4,287.0
298,81,5,63.46721021781708
299,90,6,63.74956319550202
300,343,7,348.00722164549626
301,355,1,360.0
302,221,2,344.8738685563533
303,333,3,298.80070899548843
304,286,4,313.9570714889423
305,49,5,68.0849730175595
306,84,6,55.4687248863775
307,323,7,332.0
308,344,1,348.0
309,346,2,340.9326524312371
310,362,3,348.0
311,310,4,315.0
312,39,5,66.53329366546745
313,71,6,34.600121981401514
314,320,7,324.78459809267025
315,329,1,345.0
316,344,2,333.0
317,294,3,344.0
318,309,4,272.0
319,48,5,46.0
320,51,6,33.597475293373996
321,298,7,101.98927086474855
322,271,1,321.0
323,332,2,297.0
324,336,3,323.02043944325305
325,288,4,296.3851374065359
326,73,5,54.522175707337944
327,52,6,59.263854425457275
