Actual,Day,Predicted
281,1,175.734498480197
279,2,173.110956695043
274,3,170.1890484487
161,4,111.286162914205
270,5,33.4257281430314
62,6,33.1664168877074
48,7,161.390511893258
252,8,170.401545793869
311,9,177.505745923483
305,10,169.797351314267
264,11,137.787256596808
306,12,46.0078693198503
57,13,42.4641601929198
42,14,174.804839133004
295,15,171.186761870046
295,16,164.02219741763
290,17,166.932178104419
270,18,130.267816456379
270,19,34.9376677646242
80,20,47.7785010328904
71,21,177.863255414349
269,22,173.616890144782
294,23,170.491364843247
279,24,174.786515147411
296,25,136.979036206421
274,26,44.1373030239577
33,27,40.3762154802703
43,28,172.769166804478
277,29,165.663586208015
255,30,158.977267087836
288,31,160.180143613086
248,32,123.48659834843
249,33,33.9171076247317
50,34,39.230151023089
64,35,178.423963803231
297,36,178.615383477598
308,37,174.64555374278
289,38,176.149597926414
292,39,132.602387854837
229,40,22.597097639178
52,41,46.1125328352454
60,42,158.693128880121
262,43,175.587221681239
279,44,170.940855887618
290,45,172.141136119632
239,46,128.614632933621
220,47,28.8506767501573
53,48,49.529244062885
40,49,161.047531802706
290,50,174.222346986619
290,51,162.115480303001
254,52,169.811053082572
306,53,150.495299678161
281,54,33.997383586404
63,55,35.9337479778282
76,56,157.735589910381
286,57,180.324717079323
302,58,170.166556905192
305,59,176.967661835712
298,60,136.479876281069
303,61,43.008661737779
87,62,47.0486962344147
70,63,155.926559450214
312,64,182.027016478918
307,65,169.443563964358
311,66,185.774214443768
349,67,153.326515542347
307,68,46.4572751183265
65,69,40.8444398339035
58,70,157.773959477779
247,71,161.928869357228
327,72,181.642317578995
308,73,189.11350201617
305,74,140.782124088158
313,75,51.9443846145241
54,76,45.4631570894453
71,77,163.016097287555
279,78,180.308045244156
314,79,187.300128043879
313,80,181.11076543022
221,81,117.714721377712
301,82,42.448565076719
69,83,47.9609581875624
32,84,165.147417116156
283,85,173.719295610303
266,86,177.737065022118
284,87,175.534784349841
257,88,130.976792358422
49,89,-4.10925966235109
43,90,46.4415654806993
65,91,173.758766506694
81,92,151.649655343627
295,93,182.177891911799
312,94,191.884744615185
294,95,145.90173836336
273,96,39.2868001361814
89,97,49.930483170967
84,98,152.883491822584
310,99,192.994590458682
323,100,192.33109628178
330,101,197.391432452665
324,102,150.05476942918
282,103,40.6594515932066
38,104,42.0970694393895
41,105,148.750669930745
302,106,185.508693830687
346,107,194.393219320754
356,108,202.138306982547
342,109,155.162834728439
332,110,51.7691336195918
75,111,53.3780505994513
67,112,162.397412963839
334,113,184.562525882841
341,114,197.427204792714
312,115,195.759658078538
329,116,147.671641124176
315,117,50.9237107942006
36,118,51.2444734594088
29,119,168.237300972359
46,120,135.480053899273
293,121,195.643174653034
317,122,183.99096982377
310,123,151.210673072364
284,124,46.5428274137595
92,125,56.4006035178395
82,126,158.974399425273
339,127,197.664771324822
358,128,200.145063475321
382,129,206.62851060697
264,130,136.942437523541
301,131,47.9565100741402
88,132,56.0005241428155
100,133,156.305754286169
271,134,190.427510656908
329,135,183.596610058587
286,136,181.450938912644
335,137,151.073303890882
335,138,58.7784776493311
66,139,58.2834639420022
83,140,168.906539779317
92,141,161.594457046234
331,142,197.477759396929
296,143,192.915227246364
334,144,155.605788482648
261,145,52.3330210469895
101,146,67.0582559631398
56,147,147.846913289944
269,148,182.131553571624
331,149,192.247896011732
305,150,181.554428661048
83,151,74.2184303701502
310,152,58.5426955989295
95,153,59.184438718031
102,154,148.353595888015
332,155,204.134509873681
378,156,203.94347646777
378,157,205.399360387134
381,158,170.876636934715
309,159,62.2979552510093
96,160,64.8165402289416
95,161,175.217290133005
361,162,198.608920506311
411,163,207.044181726178
367,164,209.071130265348
337,165,162.557398526088
323,166,62.3094310990015
93,167,62.6546560861403
79,168,175.912815006374
291,169,191.870151271594
348,170,195.399607178768
371,171,209.328567733925
339,172,155.485217258184
312,173,60.1481384762335
124,174,68.7701837008337
97,175,156.51712536506
360,176,202.385301909031
388,177,213.016809370327
421,178,224.752357844507
350,179,168.279521944011
352,180,78.4917542627803
117,181,99.7809931208458
90,182,187.38602057256
375,183,206.18757245536
386,184,211.479108847618
451,185,226.832769738092
838,186,292.158497408634
359,187,75.4422412090187
136,188,70.597411300162
98,189,152.013749159136
268,190,185.019328701759
368,191,195.783046854324
297,192,195.383362725457
378,193,171.9055044019
316,194,63.0869314509803
123,195,67.7895968020395
132,196,152.979241296159
298,197,201.84270498921
400,198,204.980684539424
406,199,220.692738539972
375,200,167.603409600974
228,201,49.0492458810962
106,202,73.1735395624627
53,203,157.311353956774
316,204,194.05157389427
349,205,192.69807619055
355,206,204.945218695992
342,207,161.13271897519
302,208,54.6103657816081
108,209,66.7498378380989
114,210,166.177124385073
322,211,204.393665596991
346,212,202.590157765978
369,213,210.950813766842
775,214,282.926328177492
327,215,65.2659187496563
126,216,73.4458693726955
158,217,173.729791683007
374,218,213.835947334056
365,219,200.41201387174
352,220,208.698758904923
337,221,165.397086546774
266,222,62.9230101327547
109,223,75.3803925330959
110,224,167.045777305576
339,225,201.791627138646
337,226,209.018059551752
338,227,203.415835773575
329,228,152.156243610045
303,229,59.5029218803506
149,230,78.1112844801834
100,231,164.906666104711
229,232,182.268640838057
310,233,181.034027264591
271,234,183.890556684296
254,235,134.101465612607
287,236,50.8642472980823
104,237,69.2022862509873
95,238,174.575246963422
52,239,135.227298608274
249,240,168.048335565536
335,241,196.037398703674
334,242,157.898008735361
356,243,68.8381631970051
95,244,57.3901139575414
80,245,174.481890317467
306,246,194.097329403593
365,247,198.792972394413
381,248,208.456725219294
346,249,160.969386079543
354,250,72.3029742046961
105,251,67.4821724007167
91,252,166.452671171739
320,253,191.689545206319
323,254,187.599883524322
287,255,183.273255982685
312,256,150.218762583792
342,257,66.7102953599584
105,258,60.2716193667496
107,259,180.701114284689
308,260,188.469016240431
206,261,153.706831200402
351,262,196.302943605126
300,263,157.059670321182
352,264,68.4166936897647
100,265,60.9279582344963
102,266,170.915749030821
324,267,193.497429546601
368,268,195.629388645529
366,269,204.74974712193
382,270,175.132894217013
356,271,69.7496973433111
91,272,52.8950557883524
108,273,199.101763214765
333,274,193.117884340476
304,275,175.284130310491
350,276,203.155543940527
384,277,173.475499869346
368,278,70.4560884122783
102,279,60.5552521647318
98,280,172.049489219173
364,281,199.891150334312
368,282,193.13303681464
357,283,190.558952770526
346,284,161.364888929887
325,285,59.7129432523462
92,286,47.0344331270325
96,287,166.624275475133
365,288,199.326750867113
402,289,195.236601958982
175,290,162.296267799008
355,291,167.650735184217
312,292,56.241006477874
63,293,53.0227327553799
80,294,183.859748728725
359,295,189.213989851051
331,296,180.880993795704
181,297,160.022122872187
292,298,140.867436317473
159,299,24.1286278130478
81,300,56.5011218822384
90,301,172.351231614889
343,302,192.948268034659
355,303,182.840921222303
221,304,163.865743493413
333,305,162.3533217423
286,306,51.4164794475973
49,307,40.9265196199387
84,308,168.564434615252
323,309,185.013341217258
344,310,176.909598562105
346,311,185.144320470358
362,312,166.177192800401
310,313,56.3111765988736
39,314,49.1503935869071
71,315,174.109687100727
320,316,183.534414418296
329,317,177.21535879021
