Day,Actual,Predicted
1,19,15.1864050296407
2,24,23.4998644197835
3,5,12
4,12,15.2498251787079
5,22,21.1680298957948
6,32,33
7,33,33
8,28,29.4807842965823
9,25,24
10,2,2
11,8,7.75119545064159
12,23,24
13,27,27
14,30,30
15,31,31
16,25,24.4325455974639
17,6,4
18,9,6
19,29,29
20,26,28
21,30,29
22,32,30.4773689594463
23,26,27
24,7,4
25,1,2
26,15,19
27,15,16.8028932875874
28,28,28
29,23,24
30,19,16
31,4,3.11074805869049
32,3,2.897154740584
33,27,26.1499243853381
34,12,17.1271751713108
35,3,3.4061484989421
36,26,25.0432818183451
37,23,23.0970442123953
38,6,4.47499551351172
39,2,2
40,29,28
41,28,28
42,19,17.0357006566641
43,21,20.6053873326506
44,28,28
45,2,2
46,2,1
47,31,29.6306659342359
48,24,23
49,22,16.8650887716846
50,27,27
51,22,23
52,2,2
53,4,4
54,29,28.0994289409299
55,16,15
56,18,18
57,23,23.448460578312
58,7,8.12749499268926
59,2,2
60,1,2
61,5,4.32614969562197
62,2,2
63,2,2
64,2,2
65,1,1
66,1,1
67,2,2
68,2,2
69,24,23
70,25,27.7076496466364
71,22,22.0366902973748
72,4,3
73,4,4
74,28,28
75,31,29
76,29,28
77,28,27
78,25,25
79,3,4
80,3,4
81,27,27
82,27,26
83,24,24
84,18,23.4971582537627
85,25,25
86,3,3
87,1,1
88,25,24
89,25,25
90,29,29
91,20,19.6939205161621
92,16,7
93,5,5
94,2,2
95,28,28
96,31,31
97,32,33
98,18,16
99,13,15.0218861604726
100,5,4
101,4,4
102,27,27.0514752954963
103,27,26.3290240400444
104,31,31
105,28,27.7597371649685
106,12,20.1612922069351
107,5,5
108,3,3
109,25,25
110,30,30
111,17,18.2920616943568
112,29,28
113,31,29
114,4,3
115,6,5
116,25,25
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
