,Actual,Day,Predicted
0,279,1,175.7344984801967
1,274,2,173.11095669504283
2,161,3,170.1890484486998
3,270,4,111.28616291420533
4,62,5,33.42572814303138
5,48,6,33.16641688770742
6,252,7,161.39051189325798
7,311,1,170.40154579386876
8,305,2,177.50574592348332
9,264,3,169.79735131426742
10,306,4,137.78725659680785
11,57,5,46.00786931985034
12,42,6,42.4641601929198
13,295,7,174.8048391330041
14,295,1,171.1867618700455
15,290,2,164.02219741763028
16,270,3,166.93217810441934
17,270,4,130.2678164563786
18,80,5,34.937667764624216
19,71,6,47.77850103289039
20,269,7,177.86325541434923
21,294,1,173.6168901447818
22,279,2,170.49136484324657
23,296,3,174.78651514741142
24,274,4,136.97903620642083
25,33,5,44.137303023957735
26,43,6,40.37621548027033
27,277,7,172.76916680447766
28,255,1,165.6635862080155
29,288,2,158.97726708783594
30,248,3,160.18014361308627
31,249,4,123.4865983484295
32,50,5,33.917107624731706
33,64,6,39.230151023089
34,297,7,178.4239638032311
35,308,1,178.61538347759802
36,289,2,174.6455537427801
37,292,3,176.14959792641426
38,229,4,132.60238785483696
39,52,5,22.59709763917798
40,60,6,46.11253283524538
41,262,7,158.69312888012107
42,279,1,175.58722168123867
43,290,2,170.94085588761772
44,239,3,172.14113611963222
45,220,4,128.6146329336206
46,53,5,28.85067675015727
47,40,6,49.529244062885
48,290,7,161.04753180270598
49,290,1,174.22234698661867
50,254,2,162.11548030300125
51,306,3,169.81105308257233
52,281,4,150.49529967816088
53,63,5,33.99738358640396
54,76,6,35.93374797782825
55,286,7,157.7355899103814
56,302,1,180.32471707932345
57,305,2,170.16655690519238
58,298,3,176.96766183571202
59,303,4,136.47987628106932
60,87,5,43.00866173777898
61,70,6,47.04869623441469
62,312,7,155.92655945021386
63,307,1,182.02701647891826
64,311,2,169.4435639643579
65,349,3,185.77421444376841
66,307,4,153.32651554234664
67,65,5,46.45727511832651
68,58,6,40.8444398339035
69,247,7,157.77395947777862
70,327,1,161.92886935722788
71,308,2,181.6423175789953
72,305,3,189.11350201616972
73,313,4,140.78212408815838
74,54,5,51.94438461452413
75,71,6,45.46315708944534
76,279,7,163.01609728755452
77,314,1,180.30804524415612
78,313,2,187.3001280438791
79,221,3,181.11076543022023
80,301,4,117.71472137771165
81,69,5,42.448565076718964
82,32,6,47.96095818756237
83,283,7,165.1474171161558
84,266,1,173.7192956103031
85,284,2,177.73706502211766
86,257,3,175.53478434984146
87,49,4,130.97679235842227
88,43,5,-4.109259662351093
89,65,6,46.4415654806993
90,81,7,173.758766506694
91,295,1,151.64965534362722
92,312,2,182.17789191179938
93,294,3,191.88474461518524
94,273,4,145.90173836335967
95,89,5,39.28680013618143
96,84,6,49.930483170966994
97,310,7,152.88349182258366
98,323,1,192.99459045868184
99,330,2,192.33109628178033
100,324,3,197.3914324526647
101,282,4,150.0547694291804
102,38,5,40.65945159320659
103,41,6,42.09706943938948
104,302,7,148.75066993074535
105,346,1,185.50869383068698
106,356,2,194.39321932075407
107,342,3,202.1383069825475
108,332,4,155.16283472843853
109,75,5,51.76913361959179
110,67,6,53.37805059945129
111,334,7,162.3974129638385
112,341,1,184.56252588284087
113,312,2,197.42720479271384
114,329,3,195.7596580785376
115,315,4,147.67164112417598
116,36,5,50.923710794200645
117,29,6,51.24447345940883
118,46,7,168.2373009723588
119,293,1,135.48005389927334
120,317,2,195.6431746530337
121,310,3,183.99096982376966
122,284,4,151.2106730723635
123,92,5,46.54282741375955
124,82,6,56.400603517839535
125,339,7,158.97439942527348
126,358,1,197.66477132482237
127,382,2,200.14506347532102
128,264,3,206.6285106069699
129,301,4,136.94243752354103
130,88,5,47.956510074140205
131,100,6,56.00052414281546
132,271,7,156.3057542861685
133,329,1,190.42751065690803
134,286,2,183.59661005858698
135,335,3,181.45093891264355
136,335,4,151.07330389088213
137,66,5,58.77847764933108
138,83,6,58.28346394200215
139,92,7,168.90653977931655
140,331,1,161.59445704623397
141,296,2,197.47775939692883
142,334,3,192.91522724636357
143,261,4,155.6057884826475
144,101,5,52.33302104698954
145,56,6,67.0582559631398
146,269,7,147.8469132899436
147,331,1,182.13155357162424
148,305,2,192.24789601173242
149,83,3,181.5544286610477
150,310,4,74.2184303701502
151,95,5,58.54269559892948
152,102,6,59.18443871803099
153,332,7,148.35359588801478
154,378,1,204.13450987368054
155,378,2,203.94347646777024
156,381,3,205.39936038713384
157,309,4,170.8766369347155
158,96,5,62.2979552510093
159,95,6,64.81654022894162
160,361,7,175.21729013300546
161,411,1,198.6089205063111
162,367,2,207.04418172617815
163,337,3,209.07113026534844
164,323,4,162.55739852608806
165,93,5,62.30943109900148
166,79,6,62.654656086140264
167,291,7,175.912815006374
168,348,1,191.87015127159395
169,371,2,195.39960717876772
170,339,3,209.32856773392515
171,312,4,155.48521725818355
172,124,5,60.148138476233456
173,97,6,68.77018370083368
174,360,7,156.5171253650602
175,388,1,202.3853019090308
176,421,2,213.01680937032668
177,350,3,224.75235784450743
178,352,4,168.2795219440109
179,117,5,78.49175426278032
180,90,6,99.78099312084576
181,375,7,187.38602057256014
182,386,1,206.1875724553601
183,451,2,211.47910884761822
184,838,3,226.83276973809248
185,359,4,292.1584974086343
186,136,5,75.4422412090187
187,98,6,70.597411300162
188,268,7,152.01374915913604
189,368,1,185.0193287017594
190,297,2,195.783046854324
191,378,3,195.38336272545726
192,316,4,171.90550440190017
193,123,5,63.08693145098027
194,132,6,67.78959680203951
195,298,7,152.97924129615927
196,400,1,201.84270498921
197,406,2,204.98068453942432
198,375,3,220.69273853997163
199,228,4,167.6034096009736
200,106,5,49.049245881096155
201,53,6,73.17353956246272
202,316,7,157.31135395677396
203,349,1,194.05157389426967
204,355,2,192.6980761905496
205,342,3,204.94521869599183
206,302,4,161.13271897519013
207,108,5,54.61036578160807
208,114,6,66.74983783809887
209,322,7,166.1771243850733
210,346,1,204.3936655969908
211,369,2,202.59015776597798
212,775,3,210.95081376684158
213,327,4,282.92632817749194
214,126,5,65.26591874965627
215,158,6,73.44586937269554
216,374,7,173.72979168300677
217,365,1,213.83594733405627
218,352,2,200.41201387174019
219,337,3,208.6987589049228
220,266,4,165.39708654677403
221,109,5,62.92301013275468
222,110,6,75.38039253309586
223,339,7,167.04577730557634
224,337,1,201.7916271386458
225,338,2,209.01805955175172
226,329,3,203.4158357735751
227,303,4,152.15624361004498
228,149,5,59.50292188035056
229,100,6,78.11128448018339
230,229,7,164.90666610471052
231,310,1,182.26864083805748
232,271,2,181.0340272645914
233,254,3,183.89055668429566
234,287,4,134.1014656126074
