,name,id,lat,lon,capacity,closest_district
0,"River Street , Clerkenwell",1,51.52916347,-0.109970527,19,Islington
1,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37,Kensington and Chelsea
2,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32,City of London
3,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23,Islington
4,"Sedding Street, Sloane Square",5,51.49313,-0.156876,27,Westminster
5,"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,18,Westminster
6,"Charlbert Street, St. John's Wood",7,51.53430039,-0.16807429999999998,16,Camden
7,"Maida Vale, Maida Vale",8,51.529857,-0.18348604,39,Camden
8,"New Globe Walk, Bankside",9,51.507385299999996,-0.09644075099999999,19,Southwark
9,"Park Street, Bankside",10,51.50597426,-0.09275415699999999,18,Southwark
10,"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,24,Islington
11,"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,49,Camden
12,"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,21,Lambeth
13,"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,48,Camden
14,"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,26,Lambeth
15,"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,22,Camden
16,"Hatton Wall, Holborn",17,51.521661200000004,-0.109006325,26,City of London
17,"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,27,Lambeth
18,"Taviton Street, Bloomsbury",19,51.52505093,-0.13116108699999998,30,Camden
19,"Drummond Street , Euston",20,51.527326,-0.13605286,28,Camden
20,"Hampstead Road (Cartmel), Euston",21,51.53007835,-0.13884627,16,Camden
21,"Northington Street , Holborn",22,51.5222641,-0.114079481,19,City of London
22,"Red Lion Square, Holborn",23,51.51943538,-0.119123345,16,City of London
23,"British Museum, Bloomsbury",24,51.51908011,-0.124678402,35,Lambeth
24,"Doric Way , Somers Town",25,51.5288338,-0.132250369,31,Camden
25,"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,21,Islington
26,"Bouverie Street, Temple",27,51.51382102,-0.107927706,33,City of London
27,"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641,19,Camden
28,"Hereford Road, Bayswater",29,51.513735,-0.193487,22,Kensington and Chelsea
29,"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,24,Islington
30,"Fanshaw Street, Hoxton",31,51.52953709,-0.08335332299999999,36,Islington
31,"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43,City of London
32,"Central House, Aldgate",33,51.5156,-0.070056,18,City of London
33,"Pancras Road, King's Cross",34,51.5341235,-0.129386874,16,Camden
34,"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,28,Kensington and Chelsea
35,"Penywern Road, Earl's Court",37,51.49159394,-0.19236925600000002,17,Kensington and Chelsea
36,"Abingdon Villas, Kensington",38,51.4973875,-0.19724558600000003,17,Kensington and Chelsea
37,"Shoreditch High Street, Shoreditch",39,51.5263778,-0.07813092099999999,41,City of London
38,"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,16,City of London
39,"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,24,City of London
40,"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,28,Islington
41,"Crawford Street, Marylebone",43,51.52026,-0.157183945,18,Camden
